experiment	agent_iteration	commit	time_us	status	description
1	0	HEAD	3428.82	keep	Baseline 'starting_point' — initial benchmark
2	1	HEAD	1934.82	keep	Three-part optimization:
3	2	HEAD	499.81	keep	1. **BF16 matmuls**: Removed all `.to(torch.float32)` casts before matmuls. `dO` stays bfloat16 afte
4	3	HEAD	0.00	crash	1. **First matmul without GQA expansion**: Instead of expanding value_states [bs,8,skv,128] to [bs,8
5	4	HEAD	0.00	crash	A new `fused_dP_softmax_bwd_kernel` Triton kernel with grid `(bs*80, seq_q)` where each program hand
6	5	HEAD	4329.97	discard	1. **3D grid** `(bs*n_kv_heads, n_groups, seq_q)`: `pid0=kv_bh_idx`, `pid1=group_idx`, `pid2=sq_idx`
7	6	HEAD	447.18	keep	1. **First matmul without GQA expansion**: `value_states [bs,8,skv,128]` → free reshape to `[bs*8, s
8	7	HEAD	501.36	discard	1. **Pre-allocate both output tensors** (`dP_groups` and `dV_flat`) on the current default stream be
9	8	HEAD	435.14	keep	1. **Row-batched Triton kernel** (`fused_softmax_bwd_batched`): A single unified kernel replacing th
10	9	HEAD	820.27	discard	1. **`_compute_matmuls` function**: Extracted the dO permute+contiguous, both matmuls (dP and dV), a
11	10	HEAD	451.27	discard	1. **Pre-transposed value_states**: Added `vs_T = vs_flat.transpose(-2, -1).contiguous()` to create 
12	11	HEAD	5209.49	discard	New `fused_dP_softmax_bwd_3d` Triton kernel with 3D grid `(bs, n_heads, seq_q)`:
13	12	HEAD	429.16	keep	1. **torch.bmm for dP**: `torch.bmm(dO_groups_flat, vs_flat.transpose(-2,-1))` — strict batched GEMM
14	13	HEAD	0.00	crash	The dV computation now uses a single `torch.mm` instead of a batched `torch.bmm`:
15	14	HEAD	431.42	discard	New `dV_tiled_kernel` Triton kernel:
16	15	HEAD	441.18	discard	1. **Clean dV matmul**: `torch.bmm(attn_groups_flat.transpose(-2,-1), dO_groups_flat)` — the `.trans
17	16	HEAD	417.10	keep	1. **Module-level cached stream**: `_side_stream` and `_dO_ready_event` are created once at module l
18	17	HEAD	394.30	keep	1. **Direct dV output layout**: Pre-allocate `dV_flat = torch.empty((bs*n_kv_heads, seq_kv, HEAD_DIM
19	18	HEAD	397.27	discard	1. **`_output_cache` dict**: Module-level dict mapping `(bs, seq_q, seq_kv, device_index)` → `(dP_gr
20	19	HEAD	458.08	discard	- seq_kv ≤ 128: ROWS_PER_BLOCK = **32** (was 16)
21	20	HEAD	466.80	discard	New `transpose_to_groups_kernel` Triton kernel:
22	21	HEAD	394.36	discard	1. **Full tensor cache**: `_tensor_cache` dict maps `(bs, seq_q, seq_kv, device_idx)` → dict of pre-
23	22	HEAD	0.00	crash	1. **Cached main_stream**: `_main_stream` stored at module level alongside `_side_stream` and `_dO_r
24	23	HEAD	395.29	discard	1. **`torch.cuda.current_stream()` without device argument**: Avoids a Python-level device lookup. S
25	24	HEAD	460.57	discard	Verbatim #18 logic:
26	25	HEAD	457.55	discard	Exact #18 algorithm with clean comments:
